"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 25 06:41:58 GMT 2024","Thu Jul 25 06:42:03 GMT 2024","5032","SDK E2E Test - Dispute Module","IP Asset is IN_DISPUTE","Mint License Tokens for IN_DISPUTE IP asset","","","Mint license tokens with non-commerical social remixing PIL for IN_DISPUTE IP asset",""
"passed","Thu Jul 25 06:42:17 GMT 2024","Thu Jul 25 06:42:17 GMT 2024","113","SDK E2E Test - Dispute Module","IP Asset is IN_DISPUTE","Register Derivative IP Asset with License Tokens and Royalty Related Process","","","Collect royalty tokens",""
"passed","Thu Jul 25 06:41:36 GMT 2024","Thu Jul 25 06:41:48 GMT 2024","12196","SDK E2E Test - Register Derivative IP Asset with Commercial Remix PIL","@smoke Register a derivative IP asset with/without license tokens","","","","Wallet A mint a license token with the receiverAddress set as Wallet B, get a licenseTokenId (licenseTokenIdA)",""
"passed","Thu Jul 25 06:42:17 GMT 2024","Thu Jul 25 06:42:17 GMT 2024","4","SDK E2E Test - Dispute Module","IP Asset is IN_DISPUTE","Register Derivative IP Asset with License Tokens and Royalty Related Process","","","Check claimable revenue",""
"passed","Thu Jul 25 06:42:03 GMT 2024","Thu Jul 25 06:42:08 GMT 2024","5286","SDK E2E Test - Dispute Module","IP Asset is IN_DISPUTE","Mint License Tokens for IN_DISPUTE IP asset","","","Mint license tokens with commercial use PIL for IN_DISPUTE IP asset",""
"passed","Thu Jul 25 06:42:20 GMT 2024","Thu Jul 25 06:42:23 GMT 2024","2674","SDK E2E Test - Dispute Module","IP Asset is IN_DISPUTE","Register Derivative IP Asset without License Tokens > Commercial use PIL","","","Register derivative with commercial use PIL, parent IP is an IN_DISPUTE IP asset",""
"passed","Thu Jul 25 06:42:08 GMT 2024","Thu Jul 25 06:42:13 GMT 2024","4736","SDK E2E Test - Dispute Module","IP Asset is IN_DISPUTE","Mint License Tokens for IN_DISPUTE IP asset","","","Mint license tokens with commericial remix PIL for IN_DISPUTE IP asset",""
"passed","Thu Jul 25 06:41:52 GMT 2024","Thu Jul 25 06:41:52 GMT 2024","5","SDK E2E Test - Register Derivative IP Asset with Commercial Remix PIL","@smoke Register a derivative IP asset with/without license tokens","","","","Wallet C can NOT register a derivative IP asset with licenseTokenIdA",""
"passed","Thu Jul 25 06:42:13 GMT 2024","Thu Jul 25 06:42:17 GMT 2024","3858","SDK E2E Test - Dispute Module","IP Asset is IN_DISPUTE","Register Derivative IP Asset with License Tokens and Royalty Related Process","","","Register derivative with license tokens attached commercial remix PIL, parent IP is an IN_DISPUTE IP asset",""
"passed","Thu Jul 25 06:41:49 GMT 2024","Thu Jul 25 06:41:51 GMT 2024","1705","SDK E2E Test - Register Derivative IP Asset with Commercial Remix PIL","@smoke Register a derivative IP asset with/without license tokens","","","","Wallet B can register a derivative IP asset with licenseTokenIdA",""
"passed","Thu Jul 25 06:41:31 GMT 2024","Thu Jul 25 06:41:32 GMT 2024","1476","SDK E2E Test - Register Derivative IP Asset with Commercial Remix PIL","@smoke Register a derivative IP asset with/without license tokens","","","","Mint a NFT to Wallet A and get a tokenId (tokenIdA)",""
"passed","Thu Jul 25 06:41:57 GMT 2024","Thu Jul 25 06:41:58 GMT 2024","213","SDK E2E Test - Dispute Module","IP Asset is IN_DISPUTE","Attach License Terms to IN_DISPUTE IP Asset","","","Attach commericial remix PIL to IN_DISPUTE IP asset",""
"passed","Thu Jul 25 06:41:31 GMT 2024","Thu Jul 25 06:41:31 GMT 2024","186","","","","","","Register Commercial Use License Terms",""
"passed","Thu Jul 25 06:42:17 GMT 2024","Thu Jul 25 06:42:17 GMT 2024","112","SDK E2E Test - Dispute Module","IP Asset is IN_DISPUTE","Register Derivative IP Asset with License Tokens and Royalty Related Process","","","Captue snapshot",""
"passed","Thu Jul 25 06:41:51 GMT 2024","Thu Jul 25 06:41:51 GMT 2024","726","SDK E2E Test - Register Derivative IP Asset with Commercial Remix PIL","@smoke Register a derivative IP asset with/without license tokens","","","","Mint a NFT to WalletC and get a tokenId(tokenIdC)",""
"passed","Thu Jul 25 06:41:32 GMT 2024","Thu Jul 25 06:41:34 GMT 2024","1694","SDK E2E Test - Register Derivative IP Asset with Commercial Remix PIL","@smoke Register a derivative IP asset with/without license tokens","","","","Wallet A register an IP Asset with tokenIdA and get an ipId (ipIdA)",""
"passed","Thu Jul 25 06:41:30 GMT 2024","Thu Jul 25 06:41:31 GMT 2024","696","","","","","","Register Non-Commercial Social Remixing License Terms",""
"passed","Thu Jul 25 06:41:31 GMT 2024","Thu Jul 25 06:41:31 GMT 2024","183","","","","","","Register Commercial Remix License Terms",""
"passed","Thu Jul 25 06:41:34 GMT 2024","Thu Jul 25 06:41:36 GMT 2024","1818","SDK E2E Test - Register Derivative IP Asset with Commercial Remix PIL","@smoke Register a derivative IP asset with/without license tokens","","","","Wallet A attach comRemixLicenseTermsId1(commercial remix PIL) to ipIdA",""
"passed","Thu Jul 25 06:41:49 GMT 2024","Thu Jul 25 06:41:49 GMT 2024","258","SDK E2E Test - Register Derivative IP Asset with Commercial Remix PIL","@smoke Register a derivative IP asset with/without license tokens","","","","Wallet B register an IP Asset with tokenIdB and get an ipId (ipIdB)",""
"passed","Thu Jul 25 06:42:18 GMT 2024","Thu Jul 25 06:42:19 GMT 2024","1545","SDK E2E Test - Dispute Module","IP Asset is IN_DISPUTE","Register Derivative IP Asset without License Tokens > Non-commerical social remixing PIL","","","Register derivative with non-commercial social remixing PIL, parent IP is an IN_DISPUTE IP asset",""
"passed","Thu Jul 25 06:41:52 GMT 2024","Thu Jul 25 06:41:53 GMT 2024","1723","SDK E2E Test - Register Derivative IP Asset with Commercial Remix PIL","@smoke Register a derivative IP asset with/without license tokens","","","","Wallet C can register a derivative IP asset without licenseTokenId",""
"passed","Thu Jul 25 06:42:17 GMT 2024","Thu Jul 25 06:42:17 GMT 2024","116","SDK E2E Test - Dispute Module","IP Asset is IN_DISPUTE","Register Derivative IP Asset with License Tokens and Royalty Related Process","","","Claim royalty tokens",""
"passed","Thu Jul 25 06:41:48 GMT 2024","Thu Jul 25 06:41:49 GMT 2024","736","SDK E2E Test - Register Derivative IP Asset with Commercial Remix PIL","@smoke Register a derivative IP asset with/without license tokens","","","","Mint a NFT to Wallet B and get a tokenId (tokenIdB)",""
"passed","Thu Jul 25 06:41:57 GMT 2024","Thu Jul 25 06:41:57 GMT 2024","562","SDK E2E Test - Dispute Module","IP Asset is IN_DISPUTE","Attach License Terms to IN_DISPUTE IP Asset","","","Attach non-commerical social remixing PIL to IN_DISPUTE IP asset",""
"passed","Thu Jul 25 06:42:17 GMT 2024","Thu Jul 25 06:42:17 GMT 2024","197","SDK E2E Test - Dispute Module","IP Asset is IN_DISPUTE","Register Derivative IP Asset with License Tokens and Royalty Related Process","","","Pay royalty on behalf",""
"passed","Thu Jul 25 06:41:57 GMT 2024","Thu Jul 25 06:41:57 GMT 2024","201","SDK E2E Test - Dispute Module","IP Asset is IN_DISPUTE","Attach License Terms to IN_DISPUTE IP Asset","","","Attach commercial use PIL to IN_DISPUTE IP asset",""
"passed","Thu Jul 25 06:42:24 GMT 2024","Thu Jul 25 06:42:25 GMT 2024","906","SDK E2E Test - Dispute Module","IP Asset is IN_DISPUTE","Register Derivative IP Asset without License Tokens > Commercial remix PIL","","","Register derivative with commercial remix PIL, parent IP is an IN_DISPUTE IP asset",""
"passed","Thu Jul 25 06:41:51 GMT 2024","Thu Jul 25 06:41:52 GMT 2024","211","SDK E2E Test - Register Derivative IP Asset with Commercial Remix PIL","@smoke Register a derivative IP asset with/without license tokens","","","","Wallet C register an IP Asset with tokenIdC and get an ipId (ipIdC)",""
